2756
font-size,  2722,  0.9876632801161103
color,  2722,  0.9876632801161103
padding,  2718,  0.9862119013062409
margin,  2718,  0.9862119013062409
height,  2711,  0.9836719883889695
line-height,  2701,  0.9800435413642961
background,  2677,  0.9713352685050798
width,  2673,  0.9698838896952104
border,  2663,  0.966255442670537
display,  2662,  0.9658925979680697
font-family,  2652,  0.9622641509433962
position,  2643,  0.9589985486211902
text-align,  2614,  0.9484760522496372
top,  2591,  0.9401306240928883
left,  2576,  0.9346879535558781
overflow,  2574,  0.9339622641509434
background-color,  2572,  0.9332365747460087
border-radius,  2543,  0.9227140783744557
vertical-align,  2542,  0.9223512336719883
text-decoration,  2527,  0.9169085631349783
margin-top,  2514,  0.9121915820029027
margin-left,  2501,  0.9074746008708273
content,  2475,  0.8980406386066764
bottom,  2457,  0.8915094339622641
font-style,  2433,  0.8828011611030478
font-weight,  2428,  0.8809869375907112
margin-right,  2428,  0.8809869375907112
right,  2418,  0.8773584905660378
outline,  2414,  0.8759071117561683
z-index,  2412,  0.8751814223512336
background-size,  2405,  0.8726415094339622
box-sizing,  2393,  0.8682873730043541
list-style,  2387,  0.8661103047895501
margin-bottom,  2373,  0.8610304789550073
white-space,  2359,  0.8559506531204645
float,  2325,  0.8436139332365747
padding-left,  2287,  0.8298258345428157
border-bottom,  2250,  0.816400580551524
padding-top,  2239,  0.8124092888243831
text-overflow,  2217,  0.8044267053701016
border-collapse,  2200,  0.7982583454281568
background-image,  2197,  0.7971698113207547
border-spacing,  2174,  0.7888243831640058
clear,  2174,  0.7888243831640058
opacity,  2168,  0.7866473149492017
visibility,  2143,  0.7775761973875182
padding-bottom,  2118,  0.7685050798258345
transform,  2116,  0.7677793904208998
max-width,  2094,  0.7597968069666183
min-height,  2070,  0.7510885341074021
border-top,  2050,  0.7438316400580551
background-position,  2044,  0.7416545718432511
cursor,  2043,  0.7412917271407837
padding-right,  2022,  0.7336719883889695
transition,  2010,  0.7293178519593614
background-repeat,  2007,  0.7282293178519593
src,  1858,  0.6741654571843251
align-items,  1846,  0.6698113207547169
justify-content,  1821,  0.6607402031930334
border-color,  1814,  0.658200290275762
text-transform,  1807,  0.6556603773584906
